X,temp
16/09/2019 9:05,30.4
16/09/2019 9:07,30.46
16/09/2019 9:10,30.47
16/09/2019 9:15,30.66
16/09/2019 9:20,30.4
16/09/2019 9:25,30.36
16/09/2019 9:30,30.53
16/09/2019 9:35,31.23
16/09/2019 9:40,31.07
16/09/2019 9:45,31
16/09/2019 9:50,31.43
16/09/2019 9:55,31.9
16/09/2019 10:00,32.3
16/09/2019 10:05,32.4
16/09/2019 10:10,32.23
16/09/2019 10:15,32.3
16/09/2019 10:20,32.7
16/09/2019 10:25,32.83
16/09/2019 10:30,32.96
16/09/2019 10:35,33.03
16/09/2019 10:40,33.17
16/09/2019 10:45,33.03
16/09/2019 10:50,33.03
16/09/2019 10:55,33.13
16/09/2019 11:00,33
16/09/2019 11:05,33.06
16/09/2019 11:10,33.17
16/09/2019 11:15,33.3
16/09/2019 11:20,32.97
16/09/2019 11:25,32.9
16/09/2019 11:30,33.1
16/09/2019 11:35,33.23
16/09/2019 11:40,33.2
16/09/2019 11:45,33.47
16/09/2019 11:50,33.7
16/09/2019 11:55,33.9
16/09/2019 12:00,33.53
16/09/2019 12:05,33.2
16/09/2019 12:10,32.9
16/09/2019 12:15,32.83
16/09/2019 12:20,32.9
16/09/2019 12:25,32.8
16/09/2019 12:30,32.86
16/09/2019 12:35,32.86
16/09/2019 12:40,32.8
16/09/2019 12:45,32.76
16/09/2019 12:50,32.83
16/09/2019 12:55,32.8
16/09/2019 13:00,32.83
16/09/2019 13:05,32.96
16/09/2019 13:10,32.83
16/09/2019 13:15,33.13
16/09/2019 13:20,33.17
16/09/2019 13:25,33.27
16/09/2019 13:30,33.4
16/09/2019 13:35,33.37
16/09/2019 13:40,33.26
16/09/2019 13:45,33.27
16/09/2019 13:50,32.8
16/09/2019 13:55,32.97
16/09/2019 14:00,32.76
16/09/2019 14:05,31.97
16/09/2019 14:10,28.9
16/09/2019 14:15,28.67
16/09/2019 14:20,28.2
16/09/2019 14:25,27.66
16/09/2019 14:30,27.67
16/09/2019 14:35,27.83
16/09/2019 14:40,28.03
16/09/2019 14:45,27.7
16/09/2019 14:50,27.67
16/09/2019 14:55,27.76
16/09/2019 15:00,27.47
16/09/2019 15:05,27.33
16/09/2019 15:10,27.77
16/09/2019 15:15,27.16
16/09/2019 15:20,27
16/09/2019 15:25,26.76
16/09/2019 15:30,26.67
16/09/2019 15:35,26.6
16/09/2019 15:40,26.47
16/09/2019 15:45,26.2
16/09/2019 15:50,26.16
16/09/2019 15:55,26.13
16/09/2019 16:00,26.3
16/09/2019 16:05,26.27
16/09/2019 16:10,26.03
16/09/2019 16:15,26.13
16/09/2019 16:20,25.93
16/09/2019 16:25,26.2
16/09/2019 16:30,25.96
16/09/2019 16:35,25.87
16/09/2019 16:40,25.73
16/09/2019 16:45,25.73
16/09/2019 16:50,25.7
16/09/2019 16:55,25.93
16/09/2019 17:00,25.96
16/09/2019 17:05,25.83
16/09/2019 17:10,25.63
16/09/2019 17:15,25.43
16/09/2019 17:20,25.6
16/09/2019 17:25,25.47
16/09/2019 17:35,25.8
16/09/2019 17:40,25.33
16/09/2019 17:45,25.36
16/09/2019 17:50,25.3
16/09/2019 17:55,25.27
16/09/2019 18:00,25.26
16/09/2019 18:05,25.26
16/09/2019 18:10,25.3
16/09/2019 18:15,25.3
16/09/2019 18:20,25.36
16/09/2019 18:25,25.26
16/09/2019 18:30,25.27
16/09/2019 18:35,25.3
16/09/2019 18:40,25.33
16/09/2019 18:45,25.5
16/09/2019 18:50,25.43
16/09/2019 18:55,25.4
16/09/2019 19:00,25.33
16/09/2019 19:05,25.4
16/09/2019 19:10,25.3
16/09/2019 19:15,25.07
16/09/2019 19:20,25.03
16/09/2019 19:25,25.06
16/09/2019 19:30,25
16/09/2019 19:35,25.1
16/09/2019 19:40,25.1
16/09/2019 19:45,25.1
16/09/2019 19:50,25
16/09/2019 19:55,25.07
16/09/2019 20:00,25.1
16/09/2019 20:05,25.1
16/09/2019 20:10,25.17
16/09/2019 20:15,25.2
16/09/2019 20:20,25.16
16/09/2019 20:25,25.13
16/09/2019 20:30,24.8
16/09/2019 20:35,24.3
16/09/2019 20:40,24.03
16/09/2019 20:45,23.93
16/09/2019 20:50,23.9
16/09/2019 20:55,23.93
16/09/2019 21:00,24
16/09/2019 21:05,24.06
16/09/2019 21:10,23.96
16/09/2019 21:15,23.76
16/09/2019 21:20,23.66
16/09/2019 21:25,23.57
16/09/2019 21:30,23.43
16/09/2019 21:35,23.37
16/09/2019 21:40,23.36
16/09/2019 21:45,23.33
16/09/2019 21:50,23.33
